id;path_with_namespace;web_url;visibility;created_at;last_activity_at;issues_enabled;jobs_enabled;wiki_enabled;merge_requests_enabled;snippets_enabled;container_registry_access_level;shared_runners_enabled;ci_forward_deployment_enabled;request_access_enabled;auto_devops_enabled;auto_devops_deploy_strategy;packages_enabled;service_desk_enabled
11551284;acdh-oeaw/ministerratsprotokolle/mp-data;https://gitlab.com/acdh-oeaw/ministerratsprotokolle/mp-data;private;2019-03-28T13:29:35.432Z;2022-05-03T16:53:37.023Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11551310;acdh-oeaw/ministerratsprotokolle/mp-app;https://gitlab.com/acdh-oeaw/ministerratsprotokolle/mp-app;private;2019-03-28T13:30:43.225Z;2022-04-20T14:50:39.972Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11551349;acdh-oeaw/dariahteach-blog;https://gitlab.com/acdh-oeaw/dariahteach-blog;private;2019-03-28T13:33:21.281Z;2019-03-28T13:33:21.281Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11563983;acdh-oeaw/schnitzler-werke/vocab;https://gitlab.com/acdh-oeaw/schnitzler-werke/vocab;private;2019-03-29T07:42:26.428Z;2019-07-04T12:22:19.498Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11567771;acdh-oeaw/reconcile;https://gitlab.com/acdh-oeaw/reconcile;private;2019-03-29T11:16:03.732Z;2019-05-22T13:57:55.365Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11568266;acdh-oeaw/rd2tei;https://gitlab.com/acdh-oeaw/rd2tei;private;2019-03-29T11:43:24.613Z;2019-03-29T11:43:24.613Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11569789;acdh-oeaw/abacus/abacus-data;https://gitlab.com/acdh-oeaw/abacus/abacus-data;private;2019-03-29T13:13:40.633Z;2019-03-29T13:13:40.633Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11569850;acdh-oeaw/abacus/abacus-katalon;https://gitlab.com/acdh-oeaw/abacus/abacus-katalon;private;2019-03-29T13:16:43.263Z;2019-03-29T13:16:43.263Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11569909;acdh-oeaw/abacus/abacus-baseline-screenshots;https://gitlab.com/acdh-oeaw/abacus/abacus-baseline-screenshots;private;2019-03-29T13:19:52.776Z;2019-03-29T13:19:52.776Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11570398;acdh-oeaw/corpus_shell/cr-projects-mets;https://gitlab.com/acdh-oeaw/corpus_shell/cr-projects-mets;private;2019-03-29T13:48:38.829Z;2022-03-18T14:39:51.778Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
