,URI,cnt,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#subClassOf,Examples (base URI),http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.openlinksw.com/schemas/virtrdf#isGcResistantType
17,http://www.openlinksw.com/schemas/oplweb#PriceUnitType,0,"['http://www.w3.org/2000/01/rdf-schema#Class', 'http://purl.org/goodrelations/v1#PriceSpecification']",Unit Type,http://purl.org/goodrelations/v1#UnitPriceSpecification,,"
			Unit Type
		",,,,
18,http://www.openlinksw.com/schemas/oplweb#ProductFamily,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Family,http://purl.org/goodrelations/v1#ProductOrService,,"
			Product Family
		",,,,
19,http://www.openlinksw.com/schemas/oplweb#ProductCategory,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Category,http://www.openlinksw.com/schemas/oplweb#ProductFamily,,"
			Product Category
		",,,,
20,http://www.openlinksw.com/schemas/oplweb#ProductFormat,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Format,http://www.openlinksw.com/schemas/oplweb#ProductFamily,,"
			Product Format
		",,,,
21,http://www.openlinksw.com/schemas/oplweb#ProductFormatCategory,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Format Category,"['http://www.openlinksw.com/schemas/oplweb#ProductFamily', 'http://www.openlinksw.com/schemas/oplweb#ProductCategory', 'http://www.openlinksw.com/schemas/oplweb#ProductFormat']",,"
			Product Format Category
		",,,,
22,http://www.openlinksw.com/schemas/oplweb#Product,0,http://www.w3.org/2000/01/rdf-schema#Class,Product,http://purl.org/goodrelations/v1#ProductOrService,,"
			Product
		","['http://www.openlinksw.com/schemas/oplweb#ProductCategory', 'http://www.openlinksw.com/schemas/oplweb#ProductFormat']",,,
23,http://www.openlinksw.com/schemas/oplweb#Opsys,0,http://www.w3.org/2000/01/rdf-schema#Class,Operating System,"['http://www.openlinksw.com/schemas/oplweb#OpsysFamily', 'http://www.openlinksw.com/schemas/oplweb#OpsysType']",,"
			The operating system or underlaying platform.
		",,,,
24,http://www.openlinksw.com/schemas/oplweb#DbmsEngine,0,http://www.w3.org/2000/01/rdf-schema#Class,DBMS Engine,http://www.openlinksw.com/schemas/oplweb#DbmsFamily,,"
			Database Management System Engine
		",,,,
25,http://www.openlinksw.com/schemas/oplweb#VendorCategoryFamily,0,http://www.w3.org/2000/01/rdf-schema#Class,vendor_category_family,,,"
			Vendor Category Family
		",,,,
26,http://www.openlinksw.com/schemas/oplweb#VendorCategory,0,http://www.w3.org/2000/01/rdf-schema#Class,vendor_category,http://www.openlinksw.com/schemas/oplweb#VendorCategoryFamily,,"
			Vendor Category
		",,,,
