,URI,cnt,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2000/01/rdf-schema#range,Domain,Literal?,Range,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#type,http://www.w3.org/2000/01/rdf-schema#isDescribedUsing,http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2002/07/owl#equivalentProperty,http://www.openlinksw.com/schemas/virtrdf#loadAs,http://www.openlinksw.com/schemas/virtrdf#item,http://www.w3.org/2000/01/rdf-schema#subClassOf
29,http://www.openlinksw.com/schemas/oplweb#ProductCategoryDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Category Description,http://www.openlinksw.com/schemas/oplweb#ProductCategory,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
30,http://www.openlinksw.com/schemas/oplweb#ProductCategoryLongDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Category Long Description,http://www.openlinksw.com/schemas/oplweb#ProductCategory,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
31,http://www.openlinksw.com/schemas/oplweb#ProductCategoryCode,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Category Short Code,"['http://www.openlinksw.com/schemas/oplweb#ProductCategory', 'http://www.openlinksw.com/schemas/oplweb#ProductFormatCategory']",http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
32,http://www.openlinksw.com/schemas/oplweb#hasProduct,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product,"['http://www.openlinksw.com/schemas/oplweb#ProductCategory', 'http://www.openlinksw.com/schemas/oplweb#ProductFormat', 'http://www.openlinksw.com/schemas/oplweb#ProductFormatCategory', 'http://www.openlinksw.com/schemas/oplweb#Opsys', 'http://www.openlinksw.com/schemas/oplweb#DbmsEngine']",http://www.openlinksw.com/schemas/oplweb#Product,,False,,,,,,,,,,
33,http://www.openlinksw.com/schemas/oplweb#hasCategory,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product,"['http://www.openlinksw.com/schemas/oplweb#ProductFamily', 'http://www.openlinksw.com/schemas/oplweb#Product']",http://www.openlinksw.com/schemas/oplweb#ProductCategory,,False,,,,,,,,,,
34,http://www.openlinksw.com/schemas/oplweb#hasFormat,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product,"['http://www.openlinksw.com/schemas/oplweb#ProductFamily', 'http://www.openlinksw.com/schemas/oplweb#ProductFormat']",http://www.openlinksw.com/schemas/oplweb#ProductFormat,,False,,,,,,,,,,
35,http://www.openlinksw.com/schemas/oplweb#isProductCategory,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Category,"['http://www.openlinksw.com/schemas/oplweb#ProductFamily', 'http://www.openlinksw.com/schemas/oplweb#ProductFormatCategory', 'http://www.openlinksw.com/schemas/oplweb#Product']",http://www.openlinksw.com/schemas/oplweb#ProductCategory,,False,,,,,,,,,,
36,http://www.openlinksw.com/schemas/oplweb#isProductFormat,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Format,"['http://www.openlinksw.com/schemas/oplweb#ProductFamily', 'http://www.openlinksw.com/schemas/oplweb#ProductFormat', 'http://www.openlinksw.com/schemas/oplweb#ProductFormatCategory']",http://www.openlinksw.com/schemas/oplweb#ProductFormat,,False,,,,,,,,,,
37,http://www.openlinksw.com/schemas/oplweb#VendorName,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://xmlns.com/foaf/0.1/name,Vendor Name,http://www.openlinksw.com/schemas/oplweb#Vendors,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
38,http://www.openlinksw.com/schemas/oplweb#VendorCategoryFamilyDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Vendor Category Family Description,http://www.openlinksw.com/schemas/oplweb#VendorCategoryFamily,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
39,http://www.openlinksw.com/schemas/oplweb#VendorCategoryDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Vendor Category Description,http://www.openlinksw.com/schemas/oplweb#VendorCategory,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
40,http://www.openlinksw.com/schemas/oplweb#isOfVendorCategory,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Vendor Category Description,http://www.openlinksw.com/schemas/oplweb#Vendors,http://www.openlinksw.com/schemas/oplweb#VendorCategory,,False,,,,,,,,,,
41,http://www.openlinksw.com/schemas/oplweb#OpsysFamilyName,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://xmlns.com/foaf/0.1/name,Operating System Family Name,http://www.openlinksw.com/schemas/oplweb#OpsysFamily,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
42,http://www.openlinksw.com/schemas/oplweb#OpsysFamilyRating,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,OS Family Rating,http://www.openlinksw.com/schemas/oplweb#OpsysFamily,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
43,http://www.openlinksw.com/schemas/oplweb#OpsysFamilyLicenseCode,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Operating System Family License Identity,http://www.openlinksw.com/schemas/oplweb#OpsysFamily,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
44,http://www.openlinksw.com/schemas/oplweb#OpsysFamilyVendor,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Opsys Family Vendor,http://www.openlinksw.com/schemas/oplweb#OpsysFamily,http://www.openlinksw.com/schemas/oplweb#Vendors,,False,,,,,,,,,,
45,http://www.openlinksw.com/schemas/oplweb#DbmsFamilyName,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://xmlns.com/foaf/0.1/name,DBMS Family Name,http://www.openlinksw.com/schemas/oplweb#DbmsFamily,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
46,http://www.openlinksw.com/schemas/oplweb#DbmsFamilyVendor,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DBMS Family Vendor,http://www.openlinksw.com/schemas/oplweb#DbmsFamily,http://www.openlinksw.com/schemas/oplweb#Vendors,,False,,,,,,,,,,
47,http://www.openlinksw.com/schemas/oplweb#DbmsName,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://xmlns.com/foaf/0.1/name,DBMS Name,http://www.openlinksw.com/schemas/oplweb#DbmsEngine,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
48,http://www.openlinksw.com/schemas/oplweb#DbmsVersion,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DBMS Version,http://www.openlinksw.com/schemas/oplweb#DbmsEngine,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
49,http://www.openlinksw.com/schemas/oplweb#DbmsEngineRating,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DBMS Engine Rating,http://www.openlinksw.com/schemas/oplweb#DbmsEngine,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
50,http://www.openlinksw.com/schemas/oplweb#DbmsEngineOldArchiveCode,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DBMS Engine old Archive Code,http://www.openlinksw.com/schemas/oplweb#DbmsEngine,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
51,http://www.openlinksw.com/schemas/oplweb#DbmsUpwardCompatible,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DBMS Upward Compatible,http://www.openlinksw.com/schemas/oplweb#DbmsEngine,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
